fecha;temp_max_C;temp_min_C;temp_media_C;precipitacion_mm;intensidad_max_mm_h;racha_max_km_h;viento_medio_km_h;dir_racha_decenas_grado;humedad_media_pct;presion_max_hPa;presion_min_hPa;horas_sol;provisional
2025-09-15;31,5;21,2;26,4;0,0;0,0;29,9;11,9;13;69,0;1014,7;1011,5;11,4;no
2025-09-16;31,3;21,4;26,4;0,0;0,0;29,9;13,0;13;71,0;1016,6;1013,5;8,2;no
2025-09-17;31,4;20,7;26,0;0,0;0,0;29,2;11,2;14;71,0;1015,9;1013,8;11,5;no
2025-09-18;30,7;19,9;25,3;0,0;0,0;28,1;11,2;05;70,0;1017,1;1015,0;10,7;no
2025-09-19;30,1;22,1;26,1;0,0;0,0;29,9;11,9;99;70,0;1017,7;1015,2;4,9;no
2025-09-20;31,0;20,1;25,6;0,0;0,0;28,1;9,0;99;66,0;1015,9;1008,9;9,4;no
2025-09-21;31,3;22,2;26,8;0,0;0,0;34,9;6,8;05;60,0;1008,9;1001,5;4,4;no
2025-09-22;27,2;17,4;22,3;0,0;0,0;34,9;14,0;99;39,0;1009,6;1005,3;11,6;no
2025-09-23;27,2;15,7;21,4;0,0;0,0;46,1;15,1;07;45,0;1012,2;1008,4;10,6;no
2025-09-24;25,6;15,4;20,5;0,0;0,0;38,9;19,1;99;45,0;1013,3;1010,3;8,8;no
2025-09-25;25,6;15,8;20,7;0,0;0,0;46,1;14,0;12;53,0;1012,7;1009,4;8,9;no
2025-09-26;28,1;15,2;21,6;0,0;0,0;33,1;11,9;99;63,0;1012,2;1008,8;11,2;no
2025-09-27;29,1;15,7;22,4;0,0;0,0;33,1;14,0;02;67,0;1012,2;1008,5;9,9;no
2025-09-28;27,9;15,6;21,8;63,0;169,8;78,1;15,1;36;67,0;1010,0;1005,0;8,7;no
2025-09-29;20,6;16,7;18,6;62,6;19,2;45,0;15,8;03;84,0;1011,4;1006,6;0,0;no
2025-09-30;24,2;17,0;20,6;6,5;18,6;34,9;7,9;01;83,0;1014,1;1010,4;3,6;no
2025-10-01;26,9;15,0;21,0;0,0;0,0;28,1;11,9;99;72,0;1014,4;1011,5;11,1;no
2025-10-02;27,6;17,6;22,6;0,0;0,0;25,9;7,9;11;70,0;1015,1;1012,0;9,6;no
2025-10-03;27,3;16,7;22,0;0,0;0,0;24,1;6,8;10;75,0;1014,6;1011,6;10,1;no
2025-10-04;30,8;16,2;23,5;0,0;0,0;37,1;10,1;03;68,0;1012,9;1008,1;10,7;no
2025-10-05;24,5;17,1;20,8;0,3;0,0;33,1;13,0;99;67,0;1016,6;1008,6;7,3;no
2025-10-06;23,2;17,7;20,4;0,0;0,6;25,9;11,2;06;75,0;1019,0;1015,8;2,0;no
2025-10-07;27,1;15,3;21,2;0,0;0,0;29,9;9,0;04;73,0;1016,4;1012,9;9,9;no
2025-10-08;26,6;16,2;21,4;9,4;0,0;28,1;10,1;99;77,0;1013,8;1010,9;8,3;no
2025-10-09;22,6;17,1;19,8;21,7;12,6;38,2;6,8;34;81,0;1015,4;1011,1;1,1;no
2025-10-10;20,1;16,9;18,5;53,0;10,2;25,9;11,9;99;90,0;1018,0;1014,7;0,3;no
2025-10-11;21,1;16,5;18,8;57,3;84,0;42,1;16,9;99;90,0;1016,8;1014,4;1,0;no
2025-10-12;24,5;17,7;21,1;0,0;9,6;32,0;7,9;99;79,0;1015,3;1012,1;3,1;no
2025-10-13;21,5;17,7;19,6;16,1;1,8;29,9;7,9;06;81,0;1012,5;1009,2;0,1;no
2025-10-14;24,9;16,5;20,7;0,0;24,0;33,1;6,1;25;78,0;1012,2;1009,5;9,5;no
2025-10-15;24,9;17,1;21,0;0,0;0,0;25,9;9,0;99;78,0;1012,7;1010,6;6,9;no
2025-10-16;24,6;15,2;19,9;0,1;0,6;25,9;6,8;13;79,0;1011,9;1009,2;8,1;no
2025-10-17;25,2;15,3;20,2;0,0;-0,3;28,1;11,2;99;70,0;1011,7;1008,8;8,7;no
2025-10-18;24,9;12,3;18,6;0,0;0,0;24,1;7,9;14;74,0;1013,5;1011,4;10,6;no
2025-10-19;24,9;14,1;19,5;0,0;0,0;28,1;6,8;15;75,0;1013,0;1005,8;8,3;no
2025-10-20;27,1;15,5;21,3;0,0;0,0;42,1;19,1;25;52,0;1005,8;1000,2;5,3;no
2025-10-21;25,6;18,6;22,1;0,0;0,0;51,8;25,9;26;59,0;1004,3;1002,2;7,2;no
2025-10-22;27,1;19,7;23,4;0,0;0,0;60,8;23,0;26;55,0;1006,3;1002,9;8,7;no
2025-10-23;29,7;18,7;24,2;0,0;0,0;65,2;29,9;25;45,0;1008,2;1003,3;8,9;no
2025-10-24;28,7;16,2;22,4;0,0;0,0;34,9;9,0;32;64,0;1010,0;1006,5;6,1;no
2025-10-25;29,6;17,2;23,4;0,0;0,0;41,0;13,0;04;62,0;1006,8;1002,6;9,7;no
2025-10-26;20,7;11,0;15,8;4,3;5,4;45,0;9,0;34;84,0;1013,8;1005,7;1,3;no
2025-10-27;24,5;8,5;16,5;0,0;-0,3;20,9;7,9;99;65,0;1015,5;1011,5;10,5;no
2025-10-28;23,5;9,1;16,3;1,5;0,0;20,9;5,0;99;63,0;1013,4;1007,1;10,1;no
2025-10-29;24,4;14,1;19,2;4,2;7,2;32,0;6,1;26;72,0;1007,1;999,5;5,5;no
2025-10-30;25,4;13,2;19,3;0,0;0,6;34,9;13,0;99;66,0;1007,9;1002,1;10,1;no
2025-10-31;24,0;14,4;19,2;0,0;0,0;41,0;16,9;99;66,0;1010,0;1007,5;5,4;no
2025-11-01;24,7;13,9;19,3;0,0;0,0;38,9;16,9;27;56,0;1011,8;1009,4;8,0;no
2025-11-02;26,2;13,2;19,7;0,0;0,0;33,1;15,1;99;59,0;1016,2;1009,7;6,9;no
2025-11-03;22,7;11,0;16,8;0,0;0,0;22,0;10,1;14;56,0;1018,5;1015,7;9,9;no
2025-11-04;22,7;9,7;16,2;0,0;0,0;22,0;4,0;12;74,0;1017,1;1013,7;10,0;no
2025-11-05;21,9;12,8;17,4;1,1;5,4;41,0;7,9;08;80,0;1014,3;1004,8;4,5;no
2025-11-06;20,7;14,2;17,4;0,0;-0,3;55,1;32,0;26;50,0;1007,3;1002,5;9,4;no
2025-11-07;22,2;11,3;16,8;0,9;2,4;45,0;14,0;29;54,0;1008,2;1004,2;7,7;no
2025-11-08;20,7;11,3;16,0;0,0;0,6;58,0;24,8;34;51,0;1012,4;1003,4;8,6;no
2025-11-09;21,2;8,3;14,8;0,0;0,0;24,1;6,8;18;59,0;1013,6;1010,9;9,5;no
2025-11-10;23,1;6,8;15,0;0,0;0,0;28,1;6,1;22;59,0;1011,1;1007,4;8,9;no
2025-11-11;21,9;8,1;15,0;0,0;0,0;16,9;4,0;99;67,0;1011,3;1008,2;8,4;no
2025-11-12;20,6;9,3;15,0;0,0;0,0;25,9;10,1;10;77,0;1011,1;1008,3;4,1;no
2025-11-13;22,2;14,0;18,1;0,0;0,0;29,9;9,0;99;79,0;1010,3;1003,7;1,9;no
2025-11-14;23,5;15,3;19,4;0,0;0,0;42,1;11,9;25;67,0;1005,5;1000,4;5,0;no
2025-11-15;21,7;13,3;17,5;0,5;2,4;25,9;10,1;29;65,0;1006,9;1002,0;4,3;no
2025-11-16;21,0;11,8;16,4;0,0;0,0;41,0;14,0;27;62,0;1005,3;1001,2;6,0;no
2025-11-17;21,2;10,1;15,6;2,1;6,6;41,0;13,0;02;66,0;1007,9;1004,0;7,1;no
2025-11-18;20,1;8,3;14,2;0,0;-0,3;24,1;6,1;14;70,0;1010,5;1007,4;9,6;no
2025-11-19;19,7;7,4;13,6;0,0;0,0;45,0;18,0;26;59,0;1009,7;1004,7;8,6;no
2025-11-20;17,4;6,3;11,8;0,0;0,0;33,1;14,0;99;48,0;1010,5;1006,5;8,2;no
2025-11-21;14,3;3,8;9,0;0,0;0,0;51,8;20,2;31;41,0;1020,3;1009,8;9,2;no
2025-11-22;16,0;5,6;10,8;0,0;0,0;50,0;11,2;30;37,0;1020,2;1016,7;9,4;no
2025-11-23;20,7;5,3;13,0;0,0;0,0;38,9;19,1;99;42,0;1017,2;1010,6;8,6;no
